"make","model","colour","capacity","network","grade","condition","count"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",1
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",2
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",3
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",4
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",5
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",6
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",7
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",8
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",9
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",10
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",11
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",12
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",13
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",14
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",15
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",16
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",17
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",18
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",19
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",20
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",21
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",22
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",23
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",24
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",25
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",26
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",27
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",28
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",29
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",30
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",31
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",32
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",33
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",34
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",35
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",36
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",37
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",38
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",39
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",40
