"make","model","colour","capacity","network","grade","condition","count"
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",1
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",2
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",3
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",4
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",5
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",6
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",7
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",8
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",9
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",10
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",11
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",12
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",13
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",14
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",15
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",16
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",17
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",18
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",19
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",20
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",21
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Insurance Grade","Brand New",22
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Insurance Grade","Brand New",23
"AIRFORCE","WATER PROOF POUCH","Red","Not Applicable","Not Applicable","Brand New","Brand New",24
