"make","model","condition","grade","capacity","colour","network","count"
"Alcatel"," ONE TOUCH OT 983","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",1
"Alcatel","10.16","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",2
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",3
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",4
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",5
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",6
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",7
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",8
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",9
"Alcatel",10.16,"Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",10
"Alcatel",10.16,"Non-working","Grade D","Not Applicable","Black","Tesco-Mobile",11
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",12
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",13
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",14
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",15
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",16
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",17
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",18
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",19
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",20
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",21
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",22
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",23
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",24
"Alcatel",10.16,"Power On Tested-Good LCD","Unknown","Not Applicable","Black","Tesco-Mobile",25
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",26
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",27
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",28
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",29
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",30
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",31
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",32
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",33
"Alcatel",10.16,"Working","Grade D","Not Applicable","Black","Unlocked",34
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",36
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",37
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",38
"Alcatel",10.16,"Working","Grade D","Not Applicable","Black","Unlocked",39
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",40
"Alcatel",10.16,"Non-working","Unknown","Not Applicable","Black","Tesco-Mobile",41
"Alcatel",10.16,"Working","Grade D","Not Applicable","Black","Unlocked",42
"Alcatel",10.16,"Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable","Black","Tesco-Mobile",43
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",43
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",44
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",45
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",46
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",47
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",48
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",49
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",50
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",51
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",52
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",53
"Alcatel",10.16,"Working","Grade B B2B","Not Applicable","Black","Unlocked",54
"Alcatel",10.16,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked"                         ,55
"Alcatel",10.16,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked"                   ,56  
