"make","model","condition","grade","capacity","colour","network","count"
Apple," iPad 3 16GB WiFi 4G","Power On Tested-Good LCD","Unknown","16GB","White","Unknown",1
Apple," iPad 3 16GB WiFi 4G","Working","Grade B - Good Condition","16GB","Silver","Unlocked",2
Apple," iPad 3 16GB WiFi 4G","Working","Grade C - Acceptable Condition","16GB","Silver","Unlocked",3
Apple," iPad 3 16GB WiFi 4G","Working","Grade B - Good Condition","16GB","Silver","Unlocked",4
Apple," iPad 4 16GB WiFi","Working","Grade C - Acceptable Condition","16GB","Grey","Unlocked",5
Apple," iPad 4 16GB WiFi","Non-working - Need Repair - HardWare","Unknown","16GB","Grey","Not Applicable",6
Apple," IPhone 4 16GB Unlocked","Working","Grade C - Acceptable Condition","16GB","Black","Unlocked",7
Apple," IPhone 4 16GB Unlocked","Working","Grade B - Good Condition","16GB","White","Unlocked",8
Apple," IPhone 4 16GB Unlocked","Working","Grade B - Good Condition","16GB","Black","Unlocked",9
Apple," IPhone 4 16GB Unlocked","BER","Grade D","16GB","Black","Unlocked",10
Apple," IPhone 4s 16GB Unlocked","Brand New","Insurance Grade","16GB","Black","Unlocked",11
Apple," IPhone 4s 16GB Unlocked","Working","Grade B - Good Condition","16GB","Black","Unlocked",12
Apple," IPhone 4s 16GB Unlocked","Brand New","Insurance Grade","16GB","Black","Unlocked",13
Apple," IPhone 4s 16GB Unlocked","Working","Grade B B2B","16GB","White","Unlocked",14
Apple," IPhone 4s 16GB Unlocked","Working","Grade B - Good Condition","16GB","Black","Unlocked",15
Apple," iPod Touch 2nd Gen 8G","Working","Grade C - Acceptable Condition","8GB","Silver","NOS-Portugal",16
Apple," iPod Touch 2nd Gen 8G","Working","Grade C - Acceptable Condition","8GB","Silver","Not Applicable",17
Apple," iPod Touch 2nd Gen 8G","Working","Grade C - Acceptable Condition","8GB","Silver","Not Applicable",18
Apple," iPod Touch 2nd Gen 8G","Working","Grade C - Acceptable Condition","8GB","Silver","Not Applicable",19
Apple," iPod Touch 64GB 4th gen","Working","Grade C - Acceptable Condition","8GB","Grey","Not Applicable",20
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",21
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",22
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",23
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",24
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",25
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",26
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",27
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",28
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",29
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",30
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",31
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",32
Apple,"AIRPODS","Working","Insurance Grade","Not Applicable","White","Not Applicable",33
Apple,"AIRPODS","Working","Grade D","Not Applicable","White","Not Applicable",34
Apple,"AIRPODS","Working","Insurance Grade","Not Applicable","White","Not Applicable",35
Apple,"AIRPODS","Working","Insurance Grade","Not Applicable","White","Not Applicable",36
Apple,"AIRPODS","Working","Grade B - Good Condition","Not Applicable","White","Not Applicable",37
Apple,"AIRPODS","Working","Grade B - Good Condition","Not Applicable","White","Not Applicable",38
Apple,"AIRPODS","Working","Grade B - Good Condition","Not Applicable","White","Not Applicable",39
Apple,"AIRPODS","Working","Grade B - Good Condition","Not Applicable","White","Not Applicable",40
Apple,"AIRPODS","Working","Grade B - Good Condition","Not Applicable","White","Not Applicable",41
Apple,"AIRPODS","Working","Grade B - Good Condition","Not Applicable","White","Not Applicable",42
