"make","model","condition","grade","capacity","colour","network","count"
Huawei," ASCEND Y210","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",1
Huawei,312,"Brand New","Insurance Grade","Not Applicable","Black","Unlocked",2
Huawei,312,"Brand New","Insurance Grade","Not Applicable","White","Unlocked",3
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",4
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",5
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",6
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",7
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",8
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",9
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",10
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",11
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",12
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",13
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",14
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",15
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",16
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",17
Huawei,"312 - FBA SPAIN","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",18
Huawei,"4g mobile wifi E5776","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",19
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",20
Huawei,"5220S","BER","Grade B - Good Condition","Not Applicable","White","Unlocked",21
Huawei,"5220S","BER","Grade B - Good Condition","Not Applicable","Black","Unlocked",22
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",23
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",24
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","White","Unlocked",25
Huawei,"5220S","BER","Grade B - Good Condition","Not Applicable","Black","Unlocked",26
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",27
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",28
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",29
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",30
Huawei,"5220S","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",31
Huawei,"acsend y330","Non-working - DeBrand And Unlock","Grade D","Not Applicable","Black","Damaged",32
Huawei,"acsend y330","Working","Grade C - Acceptable Condition","4GB","Pink","Foreign",33
Huawei,"acsend y330","BER","Grade D","Not Applicable","Black","Unlocked",34
Huawei,"acsend y330","Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",35
Huawei,"acsend y330","Non-working","Unknown","4GB","Black","Damaged",36
Huawei,"acsend y330","Non-working","Unknown","4GB","Black","Damaged",37
Huawei,"acsend y330","Non-working","Unknown","4GB","Black","EE Network",38
Huawei,"acsend y330","Working","Grade C - Acceptable Condition","Unknown","Black","Unlocked",39
Huawei,"acsend y330","Working - Need Battery Cover","Grade C - Acceptable Condition","4GB","Black","EE Network",40
Huawei,"acsend y330","Non-working - Need Repair - HardWare","Unknown","4GB","Black","Unlocked",41
Huawei,"acsend y330","Working - Minor Issue","Grade D","4GB","Black","Unlocked",42
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",43
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",44
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",45
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",46
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",47
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",48
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",49
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",50
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",51
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",52
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",53
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",54
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",55
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",56
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",57
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",58
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",59
Huawei,"ascend g300","Working","Grade A - Very Good Condition","4GB","Silver","Unlocked",60
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",61
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",62
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",63
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",64
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",65
Huawei,"ascend g300","Working","Grade A - Very Good Condition","4GB","Silver","Unlocked",66
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",67
Huawei,"ascend g300","Working","Grade B - Good Condition","4GB","Silver","Unlocked",68
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",69
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",70
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",71
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",72
Huawei,"ascend g300","Working","Grade B - Good Condition","4GB","Silver","Unlocked",73
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",74
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",75
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",76
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",77
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",78
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",79
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",80
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",81
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",82
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",83
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",84
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",85
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",86
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",87
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",88
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",89
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",90
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",91
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",92
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",93
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",94
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",95
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",96
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",97
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",98
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",99
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",100
Huawei,"ascend g300","Working","Grade B B2B","4GB","Silver","Unlocked",101
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",102
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",103
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",104
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",105
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",106
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",107
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",108
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",109
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",110
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",111
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",112
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",113
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",114
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",115
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",116
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",117
Huawei,"ascend g300","Warranty Send-Off","Grade A - Very Good Condition","4GB","Silver","Unlocked",118
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",119
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",120
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",121
Huawei,"ascend g300","Brand New","Brand New","4GB","Silver","Unlocked",122
Huawei,"ascend g300","Working","Grade D","4GB","Black","Unlocked",123
Huawei,"ascend g300","Non-working - Need Repair - Software","Grade B - Good Condition","4GB","Black","Unlocked",124
Huawei,"ASCEND G535","BER","Grade B - Good Condition","8GB","Black","Damaged",125
Huawei,"ASCEND G535","Non-working","Unknown","8GB","Black","Damaged",126
Huawei,"ASCEND G535","Non-working","Unknown","8GB","Black","Damaged",127
Huawei,"ASCEND G535","BER","Grade C - Acceptable Condition","8GB","Black","Damaged",128
Huawei,"ASCEND G535","Non-working","Unknown","8GB","Black","Damaged",129
Huawei,"ASCEND G535","Non-working","Unknown","8GB","Black","Damaged",130
Huawei,"ASCEND G535","BER","Grade C - Acceptable Condition","8GB","Black","Damaged",131
