"make","model","condition","grade","capacity","colour","network","count"
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Warranty Send-Off","Unknown","Not Applicable","Silver","Not Applicable",1
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Warranty Send-Off","Unknown","Not Applicable","Silver","Not Applicable",2
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Warranty Send-Off","Unknown","Not Applicable","Silver","Not Applicable",3
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",4
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",5
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",6
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",7
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",8
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",9
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",10
LG," 2.1 WIRELESS SOUND BAR 320W NB3540","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",11
LG," 4X HD P880","Non-working - DeBrand","Grade B - Good Condition","Unknown","Black","Unlocked",12
LG," d802","Working","Grade B - Good Condition","16GB","Black","Unlocked",13
LG," Google Nexus 4","Non-working","Unknown","16GB","Black","Unknown",14
LG," KU990i Viewty","Non-working - Unlock","Grade C - Acceptable Condition","Not Applicable","Silver","Vodafone",15
LG," OPTIMUS GT540","Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",16
LG," OPTIMUS GT540","Non-working - Need Battery Cover And Battery","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",17
LG," Town C300","Non-working - Need Repair - Software","Grade C - Acceptable Condition","Not Applicable","White","Foreign",18
LG,1200,"Working","Grade C - Acceptable Condition","Not Applicable","White","Unlocked",19
LG,1200,"Non-working - DeBrand","Grade C - Acceptable Condition","Unknown","Silver","Three(3)",20
LG,"20M37A-B","Working","Grade C - Acceptable Condition","Not Applicable","Grey","Not Applicable",21
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",22
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",23
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",24
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",25
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",26
LG,"32LF510B 32\" LED TV","Working","Brand New","Not Applicable","Black","Not Applicable",27
LG,"32LF510B 32\" LED TV","Working","Brand New","Not Applicable","Black","Not Applicable",28
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",29
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",30
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",31
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",32
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",33
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",34
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",35
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",36
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",37
LG,"32LF510B 32\" LED TV","Non-working","Insurance Grade","Not Applicable","Black","Not Applicable",38
LG,"32LF510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",39
LG,"32LF510B 32\" LED TV","Non-working","Grade D","Not Applicable","Black","Not Applicable",40
LG,"32LF510B 32\" LED TV","Non-working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",41
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",42
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",43
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",44
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",45
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",46
LG,"32LH510B 32\" LED TV","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",47
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",48
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",49
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",50
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",51
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",52
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",53
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",54
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",55
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",56
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",57
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",58
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",59
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",60
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",61
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",62
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",63
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",64
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",65
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",66
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",67
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",68
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",69
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",70
LG,"32LH510B 32\" LED TV","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",71
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",72
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",73
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",74
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",75
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",76
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",77
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",78
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",79
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",80
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",81
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",82
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",83
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",84
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",85
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",86
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",87
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",88
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",89
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",90
LG,"32LH510B 32\" LED TV","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",91
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",92
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",93
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",94
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",95
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",96
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",97
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",98
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",99
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",100
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",101
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",102
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",103
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",104
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",105
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",106
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",107
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",108
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",109
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",110
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",111
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",112
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",113
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",114
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",115
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",116
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",117
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",118
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",119
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",120
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",121
LG,"32LH510B 32\" LED TV","Working","Brand New","Not Applicable","Black","Not Applicable",122
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",123
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",124
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",125
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",126
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",127
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",128
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",129
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",130
LG,"32LH510B 32\" LED TV","Non-working","Insurance Grade","Not Applicable","Black","Not Applicable",131
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",132
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",133
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",134
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",135
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",136
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",137
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",138
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",139
