"make","model","condition","grade","capacity","colour","network","count"
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",1
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",2
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",3
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",4
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",5
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",6
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",7
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",8
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",9
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",10
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",11
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",12
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",13
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",14
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",15
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",16
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",17
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",18
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",19
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",20
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",21
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",22
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",23
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",24
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",25
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",26
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",27
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",28
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",29
Microsoft,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable","Black","Not Applicable",30
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",31
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",32
Microsoft,"band","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",33
Microsoft,"band","Working","Grade D","Not Applicable","Black","Not Applicable",34
Microsoft,"band","Brand New","Brand New","Not Applicable","Black","Not Applicable",35
Microsoft,"band","Working","Grade D","Not Applicable","Black","Not Applicable",36
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",37
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",38
Microsoft,"band","Warranty Send-Off","Unknown","Not Applicable","Black","Not Applicable",39
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",40
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",41
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",42
Microsoft,"band","Warranty Send-Off","Unknown","Not Applicable","Black","Not Applicable",43
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",44
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",45
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",46
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",47
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",48
Microsoft,"band","Working","Grade D","Not Applicable","Black","Not Applicable",49
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",50
Microsoft,"band","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",51
Microsoft,"BAND- LARGE","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",52
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",53
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",54
Microsoft,"BAND- LARGE","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",55
Microsoft,"BAND- LARGE","Working","Grade D","Not Applicable","Black","Not Applicable",56
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",57
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",58
Microsoft,"BAND- LARGE","Working","Grade D","Not Applicable","Black","Not Applicable",59
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",60
Microsoft,"BAND- LARGE","BER","Unknown","Not Applicable","Black","Not Applicable",61
Microsoft,"BAND- LARGE","Working","Grade D","Not Applicable","Black","Not Applicable",62
Microsoft,"BAND- LARGE","Working","Grade D","Not Applicable","Black","Not Applicable",63
Microsoft,"BAND- LARGE","Working","Grade D","Not Applicable","Black","Not Applicable",64
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",65
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",66
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",67
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",68
Microsoft,"BAND- LARGE","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",69
Microsoft,"BAND- LARGE","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",70
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",71
Microsoft,"BAND- LARGE","Non-working","Unknown","Not Applicable","Black","Not Applicable",72
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",73
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",74
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",75
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",76
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",77
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",78
Microsoft,"BAND- LARGE","Working","Grade D","Not Applicable","Black","Not Applicable",79
Microsoft,"BAND- LARGE","Brand New","Brand New","Not Applicable","Black","Not Applicable",80
Microsoft,"BAND- LARGE","Brand New","Brand New","Not Applicable","Black","Not Applicable",81
Microsoft,"BAND- LARGE","Brand New","Brand New","Not Applicable","Black","Not Applicable",82
Microsoft,"BAND- LARGE","Brand New","Brand New","Not Applicable","Black","Not Applicable",83
Microsoft,"BAND- LARGE","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",84
Microsoft,"BAND- LARGE","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",85
Microsoft,"BAND- LARGE","Non-working","Unknown","Not Applicable","Black","Not Applicable",86
Microsoft,"BAND- LARGE","Non-working","Unknown","Not Applicable","Black","Not Applicable",87
Microsoft,"BAND- LARGE","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",88
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",89
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",90
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",91
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",92
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",93
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",94
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",95
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",96
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",97
Microsoft,"BAND- MEDIUM","Working","Grade D","Not Applicable","Black","Not Applicable",98
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",99
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",100
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",101
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",102
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",103
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",104
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",105
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",106
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",107
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",108
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",109
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",110
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",111
Microsoft,"BAND- MEDIUM","Working","Grade D","Not Applicable","Black","Not Applicable",112
Microsoft,"BAND- MEDIUM","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",113
Microsoft,"BAND- MEDIUM","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",114
Microsoft,"BAND- MEDIUM","Working","Grade D","Not Applicable","Black","Not Applicable",115
Microsoft,"BAND- MEDIUM","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",116
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",117
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",118
Microsoft,"BAND- MEDIUM","Working","Grade D","Not Applicable","Black","Not Applicable",119
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",120
Microsoft,"BAND- MEDIUM","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",121
