"make","model","condition","grade","capacity","colour","network","count"
Nokia, 103,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable","Blue","Damaged",1
Nokia, 103,"Working - Minor Issue","Grade C - Acceptable Condition","Not Applicable","Blue","Unlocked",2
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",3
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",4
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",5
Nokia, 105,"Working","Grade B B2B","Not Applicable","Black","Unlocked",6
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",7
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",8
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",9
Nokia, 105,"Working","Grade B B2B","Not Applicable","Black","Unlocked",10
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",11
Nokia, 105,"Working","Grade B B2B","Not Applicable","Black","Unlocked",12
Nokia, 105,"Working","Grade B B2B","Not Applicable","Black","Unlocked",13
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Blue","Unlocked",14
Nokia, 105,"Working","Grade B B2B","Not Applicable","Blue","Unlocked",15
Nokia, 105,"Working","Grade A - Very Good Condition","Not Applicable","Blue","Unlocked",16
Nokia, 105,"Working","Grade A - Very Good Condition","Not Applicable","Blue","Unlocked",17
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",18
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",19
Nokia, 105,"Working","Grade A - Very Good Condition","Not Applicable","Blue","Unlocked",20
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",21
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",22
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",23
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",24
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",25
Nokia, 105,"Working","Grade A - Very Good Condition","Not Applicable","Blue","Unlocked",26
Nokia, 105,"Working","Grade A - Very Good Condition","Not Applicable","Blue","Unlocked",27
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",28
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",29
Nokia, 105,"Working","Grade B - Good Condition","Not Applicable","Black","Unlocked",30
