"make","model","condition","grade","capacity","colour","network","count"
Samsung," Chat 335","Working - Need Battery Cover","Grade C - Acceptable Condition","Not Applicable","Black","Tesco-Mobile",1
Samsung," Galaxy Ace 3 S7270","Non-working","Unknown","4GB","Grey","NOS-Portugal",2
Samsung," Galaxy Note 10.1 16GB (2014 Edition) WiFi","Non-working","Unknown","16GB","White","Not Applicable",3
Samsung," Galaxy Note 10.1 16GB WIFI","Power On Tested-Good LCD","Unknown","16GB","White","Damaged",4
Samsung," Galaxy Note 2 II","Working","Grade A - Very Good Condition","32GB","Grey","Unlocked",5
Samsung," Galaxy Note 2 II","Working – Major Screen Burn","Grade B - Good Condition","16GB","Grey","Unlocked",6
Samsung," Galaxy note 3 iii","Counterfeit","Grade C - Acceptable Condition","16GB","Black","Unknown",7
Samsung," Galaxy Note 3 N9005 LTE","Working","Grade B - Good Condition","32GB","White","Unlocked",8
Samsung," Galaxy Note 4","Brand New","Insurance Grade","32GB","White","Unlocked",9
Samsung," Galaxy Note 4","Blacklisted","Not Graded","32GB","Black","Unknown",10
Samsung," Galaxy Note 4","Brand New","Insurance Grade","32GB","Black","Unlocked",11
Samsung," Galaxy Note 4","Non-working","Unknown","32GB","Black","Damaged",12
Samsung," Galaxy Note 4","Brand New","Brand New","Not Applicable","Gold","Not Applicable",13
Samsung," Galaxy Note 4","Working","Grade B B2B","32GB","Black","Unlocked",14
Samsung," Galaxy Note 4","Working","Grade C - Acceptable Condition","32GB","Black","Unlocked",15
Samsung," Galaxy Note 4","Working","Grade C - Acceptable Condition","32GB","Black","Unlocked",16
Samsung," Galaxy Note 4","Working","Grade A - Very Good Condition","32GB","Black","Unlocked",17
Samsung," Galaxy Note 4","Working – Minor Screen Burn","Grade C - Acceptable Condition","32GB","Charcoal Black","Unlocked",18
Samsung," Galaxy Note 4","Working - Minor Issue","Grade C - Acceptable Condition","32GB","Black","Unlocked",19
Samsung," Galaxy Note 4","Working - Minor Issue","Grade C - Acceptable Condition","32GB","White","Unlocked",20
Samsung," Galaxy Note 4","Working - Minor Issue","Grade C - Acceptable Condition","32GB","White","Unlocked",21
Samsung," Galaxy Note 4","Working","Grade C - Acceptable Condition","32GB","White","Unlocked",22
Samsung," Galaxy Note 4","Working","Grade B - Good Condition","32GB","CHARCOAL","Unlocked",23
Samsung," Galaxy Note 4","Working","Grade B B2B","32GB","CHARCOAL","Unlocked",24
Samsung," Galaxy Note 4","Working - Minor Issue","Grade C - Acceptable Condition","32GB","Black","EE Network",25
Samsung," Galaxy Note 4","Working","Grade C - Acceptable Condition","32GB","Gold","Unlocked",26
Samsung," Galaxy Note 4","Non-working - Need Repair - HardWare","Grade B - Good Condition","32GB","Black","Unlocked",27
Samsung," Galaxy Note 4","Working","Grade C - Acceptable Condition","32GB","Black","Unlocked",28
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Black","Unlocked",29
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Black","Unlocked",30
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Black","Unlocked",31
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade A - Very Good Condition","64GB","Black","Unlocked",32
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Black","Unlocked",33
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Gold","Unlocked",34
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade A - Very Good Condition","64GB","Gold","Unlocked",35
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",36
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade C - Acceptable Condition","64GB","Gold","Unlocked",37
Samsung," galaxy Note 8.0","Working","Grade A - Very Good Condition","64GB","Black","Unlocked",38
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",39
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",40
Samsung," galaxy Note 8.0","Non-working - Need Repair - HardWare","Unknown","64GB","Black","Unlocked",41
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",42
Samsung," galaxy Note 8.0","Working","Grade C - Acceptable Condition","64GB","Gold","Unlocked",43
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Gold","Unlocked",44
Samsung," galaxy Note 8.0","Working","Grade C - Acceptable Condition","64GB","Gold","Unlocked",45
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",46
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Gold","Unlocked",47
Samsung," galaxy Note 8.0","Working","Grade A - Very Good Condition","64GB","Black","Unlocked",48
Samsung," galaxy Note 8.0","Use For Parts","Grade B - Good Condition","64GB","Black","EE Network",49
Samsung," galaxy Note 8.0","Working","Grade C - Acceptable Condition","64GB","Gold","Unlocked",50
Samsung," galaxy Note 8.0","Brand New","Insurance Grade","64GB","Black","EE Network",51
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",52
Samsung," galaxy Note 8.0","Working","Grade B - Good Condition","64GB","Black","Unlocked",53
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Black","Unlocked",54
Samsung," galaxy Note 8.0","Brand New","Insurance Grade","64GB","Black","Unlocked",55
Samsung," galaxy Note 8.0","Working","Grade A - Very Good Condition","64GB","Black","Unlocked",56
Samsung," galaxy Note 8.0","Working – Minor Screen Burn","Grade B - Good Condition","64GB","Black","Unlocked",57
Samsung," galaxy Note 8.0","Working","Grade A - Very Good Condition","64GB","Black","Unlocked",58
Samsung," Galaxy Note III N9000","BER-Scrap","Grade D","32GB","Blue","Not Applicable",59
Samsung," galaxy s3 i9300","Working","Grade D","16GB","Pebble Blue","Unlocked",60
Samsung," galaxy s3 i9300","Working","Grade A - Very Good Condition","16GB","Blue","Unlocked",61
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","16GB","Blue","Unlocked",62
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","32GB","Blue","Unlocked",63
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","Blue","Unlocked",64
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","White","Unlocked",65
Samsung," galaxy s3 i9300","Power On Tested-Good LCD","Unknown","16GB","White","Unknown",66
Samsung," galaxy s3 i9300","Working","Grade B B2B","16GB","White","Unlocked",67
Samsung," galaxy s3 i9300","Working","Grade B B2B","16GB","Blue","Unlocked",68
Samsung," galaxy s3 i9300","BER","Grade D","16GB","Blue","Unknown",69
Samsung," galaxy s3 i9300","BER","Grade B - Good Condition","32GB","Blue","Unlocked",70
Samsung," galaxy s3 i9300","BER","Grade B - Good Condition","32GB","Blue","Unknown",71
Samsung," galaxy s3 i9300","Power On Tested-Good LCD","Grade B - Good Condition","32GB","Blue","Unknown",72
Samsung," galaxy s3 i9300","Power On Tested-Good LCD","Grade B B2B","32GB","White","Unknown",73
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","32GB","White","Unknown",74
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","32GB","White","Unknown",75
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","32GB","White","Unknown",76
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","16GB","Black","Unknown",77
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","16GB","Blue","Unknown",78
Samsung," galaxy s3 i9300","Power On Tested-Good LCD","Grade C - Acceptable Condition","16GB","Blue","Unknown",79
Samsung," galaxy s3 i9300","Working","Grade D","16GB","Black","Unlocked",80
Samsung," galaxy s3 i9300","Working","Grade B B2B","16GB","Blue","Unlocked",81
Samsung," galaxy s3 i9300","Working","Grade B B2B","16GB","White","Unlocked",82
Samsung," galaxy s3 i9300","Brand New","Brand New","16GB","White","Vodafone",83
Samsung," galaxy s3 i9300","Non-working","Grade B - Good Condition","16GB","White","Damaged",84
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","Bluish Black","Unlocked",85
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","16GB","Bluish Black","Foreign",86
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","16GB","Bluish Black","Unknown",87
Samsung," galaxy s3 i9300","Non-working - DeBrand","Grade C - Acceptable Condition","Not Applicable","White","Unknown",88
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","Not Applicable","Blue","Vodafone-Ireland",89
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","Blue","Unlocked",90
Samsung," galaxy s3 i9300","Non-working - Need Repair - HardWare","Unknown","16GB","Blue","Unlocked",91
Samsung," galaxy s3 i9300","Working – Major Screen Burn","Grade C - Acceptable Condition","16GB","Blue","Unlocked",92
Samsung," galaxy s3 i9300","Brand New","Insurance Grade","16GB","Pebble Blue","Unlocked",93
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","Blue","Unlocked",94
Samsung," galaxy s3 i9300","BER-Scrap","Grade D","16GB","Pebble Blue","Unlocked",95
Samsung," galaxy s3 i9300","Brand New","Insurance Grade","16GB","Pebble Blue","Unlocked",96
Samsung," galaxy s3 i9300","Brand New","Insurance Grade","16GB","Pebble Blue","Unlocked",97
Samsung," galaxy s3 i9300","Working","Grade A - Very Good Condition","16GB","Pebble Blue","Unlocked",98
Samsung," galaxy s3 i9300","Brand New","Insurance Grade","16GB","Pebble Blue","Unlocked",99
Samsung," galaxy s3 i9300","Brand New","Insurance Grade","16GB","Pebble Blue","Unlocked",100
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","Pebble Blue","Unlocked",101
Samsung," galaxy s3 i9300","Non-working","Unknown","16GB","Blue","NOS-Portugal",102
Samsung," galaxy s3 i9300","Non-working","Unknown","4GB","Black","NOS-Portugal",103
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade B - Good Condition","16GB","White","Unlocked",104
Samsung," galaxy s3 i9300","Non-working","Unknown","4GB","Blue","NOS-Portugal",105
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","Blue","Unlocked",106
Samsung," galaxy s3 i9300","Working","Grade D","16GB","Blue","Unlocked",107
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","White","Unlocked",108
Samsung," galaxy s3 i9300","Non-working","Unknown","8GB","Blue","Damaged",109
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","White","Unlocked",110
Samsung," galaxy s3 i9300","Working – Major Screen Burn","Grade B - Good Condition","16GB","White","Unlocked",111
Samsung," galaxy s3 i9300","Non-working","Unknown","16GB","Blue","Damaged",112
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","Black Sapphire","Unlocked",113
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","Blue","Unlocked",114
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","White","Unlocked",115
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","White","Unlocked",116
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","Blue","Unlocked",117
Samsung," galaxy s3 i9300","Non-working","Unknown","16GB","White","Damaged",118
Samsung," galaxy s3 i9300","Non-working","Unknown","16GB","Blue","Damaged",119
Samsung," galaxy s3 i9300","Non-working - Need Repair - HardWare","Grade D","16GB","White","Orange",120
Samsung," galaxy s3 i9300","Working – Major Screen Burn","Grade D","32GB","White","Unlocked",121
Samsung," galaxy s3 i9300","Non-working - DeBrand","Grade C - Acceptable Condition","16GB","White","Unlocked",122
Samsung," galaxy s3 i9300","Non-working - Unlock","Grade D","32GB","White","Three(3)",123
Samsung," galaxy s3 i9300","Working - Need Battery Cover","Grade C - Acceptable Condition","16GB","Black Sapphire","Unlocked",124
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","White","Unlocked",125
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","White","Unlocked",126
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","Blue","Unlocked",127
Samsung," galaxy s3 i9300","Working – Major Screen Burn","Grade C - Acceptable Condition","16GB","White","Unlocked",128
Samsung," galaxy s3 i9300","Working","Grade C - Acceptable Condition","16GB","Black Sapphire","Unlocked",129
Samsung," galaxy s3 i9300","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","White","Unlocked",130
Samsung," galaxy s3 i9300","Working","Grade B - Good Condition","16GB","White","Unlocked",131
Samsung," Galaxy S3 i9305","Working – Minor Screen Burn","Grade C - Acceptable Condition","16GB","Black","Unlocked",132
