"make","model","condition","grade","capacity","colour","network","count"
Sony," PlayStation 4 Console PS4","Power On Tested-Good LCD","Unknown","500GB","Black","Not Applicable",1
Sony," PlayStation 4 Console PS4","Non-working","Unknown","500GB","Black","Not Applicable",2
Sony," PlayStation 4 Console PS4","Power On Tested-Good LCD","Unknown","500GB","Black","Not Applicable",3
Sony," PlayStation 4 Console PS4","Non-working","Unknown","500GB","Black","Not Applicable",4
Sony," PlayStation 4 Console PS4","Working","Grade B - Good Condition","500GB","Black","Not Applicable",5
Sony," PlayStation 4 Console PS4","Working","Grade B - Good Condition","500GB","Black","Not Applicable",6
Sony," PlayStation 4 Console PS4","Working","Grade B - Good Condition","500GB","Black","Not Applicable",7
Sony," PlayStation 4 Console PS4","Non-working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",8
Sony," PlayStation 4 Console PS4","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",9
Sony," PlayStation 4 Console PS4","Non-working","Unknown","Not Applicable","Black","Not Applicable",10
Sony," PlayStation 4 Console PS4","Non-working","Unknown","Not Applicable","Black","Not Applicable",11
Sony," PlayStation 4 Console PS4","Non-working","Unknown","Not Applicable","Black","Not Applicable",12
Sony," Playstation 4 PS4 - 500GB","Working","Grade B - Good Condition","500GB","Black","Not Applicable",13
Sony," Playstation 4 PS4 - 500GB","Working","Grade B - Good Condition","500GB","Black","Not Applicable",14
Sony," Playstation 4 PS4 - 500GB","BER","Grade C - Acceptable Condition","500GB","Black","Not Applicable",15
Sony," Playstation 4 PS4 - 500GB","Working","Grade C - Acceptable Condition","500GB","Black","Not Applicable",16
Sony," Playstation 4 PS4 - 500GB","Working","Grade C - Acceptable Condition","500GB","Black","Not Applicable",17
Sony," Playstation 4 PS4 - 500GB","Working","Grade B - Good Condition","500GB","Black","Not Applicable",18
Sony," Xperia L","Working","Grade B - Good Condition","8GB","Black","Unlocked",19
Sony," Xperia L","Working","Grade B B2B","8GB","Black","Vodafone-Ireland",20
Sony," Xperia L","Non-working","Unknown","4GB","Black","Damaged",21
Sony," Xperia L","Working","Grade D","8GB","Black","Unlocked",22
Sony," Xperia L","Working – Major Screen Burn","Grade C - Acceptable Condition","8GB","Black","Unlocked",23
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",24
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",25
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",26
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",27
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",28
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",29
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",30
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",31
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",32
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",33
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",34
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",35
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",36
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",37
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",38
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",39
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",40
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",41
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",42
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",43
Sony,"3 SWR50 SmartWatch Classic","Non-working","Grade D","Not Applicable","Black","Not Applicable",44
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",45
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",46
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",47
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",48
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",49
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",50
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",51
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",52
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",53
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",54
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",55
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",56
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",57
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",58
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",59
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",60
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",61
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",62
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",63
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",64
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",65
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",66
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",67
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",68
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",69
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",70
