"make","model","condition","grade","capacity","colour","network","count"
Vodafone," v875","Non-working","Unknown","Not Applicable","Pink","Unknown",1
Vodafone,"155 BACK COVER","Brand New","Brand New","Not Applicable","Black","Not Applicable",2
Vodafone,"155 BACK COVER","Brand New","Brand New","Not Applicable","Black","Not Applicable",3
Vodafone,"155 BACK COVER","Brand New","Brand New","Not Applicable","Black","Not Applicable",4
Vodafone,"155 BACK COVER","Brand New","Brand New","Not Applicable","Black","Not Applicable",5
Vodafone,"155 BACK COVER","Brand New","Brand New","Not Applicable","Black","Not Applicable",6
Vodafone,252,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable","Black","Damaged",7
Vodafone,345,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable","Black","Vodafone",8
Vodafone,351,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable","Black","Damaged",9
Vodafone,354,"Brand New","Insurance Grade","Not Applicable","Black","Unlocked",10
Vodafone,354,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable","Black","Damaged",11
Vodafone,540,"Working","Grade A - Very Good Condition","Not Applicable","White","Unlocked",12
Vodafone,"555 BACK COVER","Brand New","Brand New","Not Applicable","White","Not Applicable",13
Vodafone,"555 BACK COVER","Brand New","Brand New","Not Applicable","White","Not Applicable",14
Vodafone,"555 BACK COVER","Brand New","Brand New","Not Applicable","White","Not Applicable",15
Vodafone,"555 BACK COVER","Brand New","Brand New","Not Applicable","White","Not Applicable",16
Vodafone,"555 BACK COVER","Brand New","Brand New","Not Applicable","White","Not Applicable",17
Vodafone,625,"Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",18
Vodafone,785,"Working","Grade C - Acceptable Condition","4GB","White","Unlocked",19
Vodafone,"858 smart","Working","Grade B B2B","Not Applicable","Black","Unlocked",20
Vodafone,"858 smart","Working","Grade D","Not Applicable","White","Unlocked",21
Vodafone,"858 smart","Working","Grade B - Good Condition","Not Applicable","Black","Foreign",22
Vodafone,"860 smart ii","Non-working","Unknown","Not Applicable","White","Unknown",23
Vodafone,"875 Smart Mini","Working","Grade D","4GB","Black","Vodafone",24
Vodafone,888,"Non-working","Unknown","4GB","Black","Unknown",25
Vodafone,888,"Working","Grade C - Acceptable Condition","4GB","Black","Vodafone",26
Vodafone,"888N","BER","Grade D","8GB","Black","Unknown",27
Vodafone,"888N","Non-working","Grade D","2GB","White","Damaged",28
Vodafone,"888N","Non-working","Unknown","2GB","Black","Damaged",29
Vodafone,"888N","Non-working","Grade C - Acceptable Condition","2GB","Black","Unlocked",30
Vodafone,"888N","Non-working","Grade C - Acceptable Condition","2GB","Black","Unlocked",31
Vodafone,"888N","Non-working","Grade D","3GB","Black","Damaged",32
Vodafone,"975 BACK COVER","Brand New","Brand New","Not Applicable","Black","Not Applicable",33
