"make","model","condition","grade","capacity","colour","network","count"
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",1
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",2
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",3
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",4
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",5
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",6
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",7
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",8
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",9
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",10
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",11
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",12
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",13
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",14
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",15
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",16
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",17
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",18
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",19
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",20
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",21
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",22
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",23
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",24
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Black","Not Applicable",25
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Pink","Not Applicable",26
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Pink","Not Applicable",27
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Pink","Not Applicable",28
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Pink","Not Applicable",29
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Pink","Not Applicable",30
"XQISIT","BLUETOOTH STEREO HEADSET - LZ380","Brand New","Brand New","Not Applicable","Pink","Not Applicable",31
"XQISIT","CHARGE AND SYNC USB/LIGHTNING ADAPTER - 14009","Brand New","Insurance Grade","Not Applicable","White","Not Applicable",32
"XQISIT","CHARGE AND SYNC USB/LIGHTNING ADAPTER - 14009","Brand New","Insurance Grade","Not Applicable","White","Not Applicable",33
"XQISIT","CHARGE AND SYNC USB/LIGHTNING ADAPTER - 14009","Brand New","Insurance Grade","Not Applicable","White","Not Applicable",34
"XQISIT","CHARGE AND SYNC USB/LIGHTNING ADAPTER - 14009","Brand New","Insurance Grade","Not Applicable","White","Not Applicable",35
"XQISIT","CHARGE AND SYNC USB/LIGHTNING ADAPTER - 14009","Brand New","Insurance Grade","Not Applicable","White","Not Applicable",36
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",37
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",38
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",39
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",40
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",41
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",42
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",43
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",44
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",45
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",46
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",47
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",48
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",49
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",50
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",51
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",52
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",53
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",54
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",55
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",56
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",57
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",58
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",59
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",60
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",61
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",62
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",63
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",64
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",65
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",66
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",67
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",68
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",69
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",70
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",71
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",72
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",73
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",74
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",75
"XQISIT","FLIPCOVER FOR IPHONE 6","Brand New","Brand New","Not Applicable","White","Not Applicable",76
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",77
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",78
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",79
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",80
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",81
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",82
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",83
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",84
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",85
"XQISIT","FLIPCOVER FOR IPHONE 6","Working","Grade A - Very Good Condition","Not Applicable","White","Not Applicable",86
