"make","model","condition","grade","capacity","colour","network","count"
"ZAGG","IFROGZ AUDIO FREEREIN REFLECT","Brand New","Brand New","Not Applicable","Black","Not Applicable",1
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Clear","Not Applicable",2
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Brand New","Not Applicable","ROSE GOLD","Not Applicable",3
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Brand New","Not Applicable","ROSE GOLD","Not Applicable",4
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Brand New","Not Applicable","Silver","Not Applicable",5
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",6
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Working","Insurance Grade","Not Applicable","ROSE GOLD","Not Applicable",7
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Working","Insurance Grade","Not Applicable","Gold","Not Applicable",8
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Working","Insurance Grade","Not Applicable","Silver","Not Applicable",9
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",10
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",11
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",12
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",13
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",14
