"make","model","condition","grade","capacity","colour","network","count"
"ZTE"," BLADE A430","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable","Blue","Unknown",1
"ZTE"," BLADE APEX2","Brand New","Insurance Grade","8GB","Black","Unlocked",2
"ZTE"," BLADE APEX2","Brand New","Insurance Grade","8GB","Black","Unlocked",3
"ZTE"," BLADE APEX2","Brand New","Insurance Grade","8GB","Black","Unlocked",4
"ZTE"," BLADE APEX2","Working","Grade A - Very Good Condition","8GB","Black","Unlocked",5
"ZTE"," BLADE APEX2","Working","Grade A - Very Good Condition","8GB","Black","Unlocked",6
"ZTE"," BLADE C320","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",7
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",8
"ZTE"," BLADE C320","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",9
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",10
"ZTE"," BLADE C320","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",11
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",12
"ZTE"," BLADE C320","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",13
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",14
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",15
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",16
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",17
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",18
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",19
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",20
"ZTE"," BLADE C320","Working","Grade A - Very Good Condition","Not Applicable","Black","Unlocked",21
"ZTE"," BLADE C320","Working","Grade C - Acceptable Condition","Not Applicable","Black","Unlocked",22
"ZTE"," BLADE C320","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",23
"ZTE"," BLADE C320","Brand New","Insurance Grade","Not Applicable","Black","Unlocked",24
